date,location_key,inc_case,inc_hosp,inc_death,sni_covid19_vaccination,liberalism,children,adult,elderly,new_persons_vaccinated,stringency_index,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,PC1,PC2,PC3
2022-03,Alabama,13502,-0.4572225057632451,0.1567066540410244,-1.3109890411041565,-0.816496580927726,-0.2312102218132492,-0.2366443628862653,-0.1983086757188688,-0.486726407841545,0.2322098983315082,0.1510059159873736,-0.0476565023367458,-0.1741936881912056,0.2007245381633626,2.019510588215371,-0.577841001582996,-0.8222007968040101,-1.8093669747183883,0.6831101830419544
2022-04,Alabama,8225,-0.5343548316212104,-0.3165098710685752,-1.3258050171276674,-0.816496580927726,-0.2312102218132492,-0.2366443628862653,-0.1983086757188688,-0.4840994674333708,-0.6868803615931385,0.2429759410089027,0.2464096995721267,0.0932309842960582,0.3946352782675629,2.1624446344257,-0.9027267315859192,-1.359243335089114,-1.8122935883234839,0.7343872795812492
2022-05,Alabama,1664,-0.5324265234747613,-0.5598998991106144,-1.341175764273374,-0.816496580927726,-0.2312102218132492,-0.2366443628862653,-0.1983086757188688,-0.4953423399621821,-0.6868803615931385,0.2873738791463161,0.5487221947654775,0.1059262453008008,0.4610386367256021,1.527141724925817,-0.8395019593445419,-1.3603881386573966,-1.221795587991549,0.4051796306571799
2021-01,Alaska,8604,-0.5368616322115943,-0.539554602648896,1.0805486457966031,1.224744871391589,-0.7545284047827421,-0.7617893039687235,-0.8492021898762484,-0.390662908703943,1.858064746553138,-1.24726219538322,-1.386727313941051,-0.902221731949158,-1.307001636160269,-0.9075925341112104,1.9311554265543276,3.176993720045565,0.40694866102858696,0.06469198265397211
2021-02,Alaska,3995,-0.5532522514564119,-0.5659281350992719,0.8268156718021598,1.224744871391589,-0.7545284047827421,-0.7617893039687235,-0.8492021898762484,-0.3916664792165308,1.6664797346251838,-0.9628559308362142,-1.102979051064458,-0.7799623212322493,-1.201403169095414,-0.3054790405944995,1.430399470948822,2.4516525836672107,-0.014800237410622561,0.3398997346666873
2021-03,Alaska,3898,-0.5499741276074483,-0.5704493120907648,1.6689231851522968,1.224744871391589,-0.7545284047827421,-0.7617893039687235,-0.8492021898762484,-0.3734148287811367,1.000908800544541,-0.0180334984270728,-0.3726508128504365,-0.621805368637917,-0.6684511593347244,-0.047146130143744,0.8016345671971247,1.0545148807856164,-0.04852634470273544,0.15981299392441106
2021-04,Alaska,4774,-0.5430322182802315,-0.571202841589347,0.723299523244674,1.224744871391589,-0.7545284047827421,-0.7617893039687235,-0.8492021898762484,-0.4189844973706715,0.6760293316190638,0.5513898666046775,0.1457351125460008,-0.26558341123378,-0.289196256526919,0.6220345114636666,0.1820606339789865,-0.18183099973876196,-0.3909684793322859,0.3576857204121746
2021-05,Alaska,3109,-0.5563375444907305,-0.5598998991106144,0.036728996256318,1.224744871391589,-0.7545284047827421,-0.7617893039687235,-0.8492021898762484,-0.4635091553725925,0.2628462403289964,1.8170881077980316,1.352872126292992,1.251183292537975,0.8515145772973772,-0.0234863073006534,-0.7445243823546506,-2.6263833735605546,0.8934498644491318,-0.07445915535925465
2021-06,Alaska,858,-0.5613511456714982,-0.5817522545694973,-0.5898791864690051,1.224744871391589,-0.7545284047827421,-0.7617893039687235,-0.8492021898762484,-0.4833787704763956,0.2628462403289964,3.1066604775877207,2.6299582930407674,2.8552853109963032,2.501014082653929,-0.3014802657791671,-1.3257294068528982,-5.2866481140840635,1.9219150686843673,-0.7611709516675373
2021-07,Alaska,4368,-0.5384042787287536,-0.5742169595836756,-0.0714490040788238,1.224744871391589,-0.7545284047827421,-0.7617893039687235,-0.8492021898762484,-0.4876543051736504,0.028686781305941,3.761652044339026,3.307238329182536,3.056896604910814,2.975382352369262,-0.3289668782867936,-1.1865533837701587,-6.09942224097403,2.2474906188723933,-1.0897346083488528
